sample_id,original_filename,class_name,label,split,relative_reference
TRAIN_00001,Masjed_varamin_2022.jpg,No Arch,0,train,no_arch/Masjed_varamin_2022.jpg
TRAIN_00002,Roofed_Bazaar_of_Nishapur_(Bazaar_e_Sarpushideh-souq)_36.jpg,Has Arch,1,train,has_arch/Roofed_Bazaar_of_Nishapur_(Bazaar_e_Sarpushideh-souq)_36.jpg
TRAIN_00003,Jarchibashi_bath2.jpg,Has Arch,1,train,has_arch/Jarchibashi_bath2.jpg
TRAIN_00004,مجموعه_بازار_قزوین06.jpg,Has Arch,1,train,has_arch/مجموعه_بازار_قزوین06.jpg
TRAIN_00005,Qadamgah_Carevanserai.png,Has Arch,1,train,has_arch/Qadamgah_Carevanserai.png
TRAIN_00006,Boom-Khaneh-1.jpg,No Arch,0,train,no_arch/Boom-Khaneh-1.jpg
TRAIN_00007,Jama_Masjid_Isfahan_Aarash_(79).jpg,No Arch,0,train,no_arch/Jama_Masjid_Isfahan_Aarash_(79).jpg
TRAIN_00008,کاروان_سرای_حاج_مهدی.jpg,Has Arch,1,train,has_arch/کاروان_سرای_حاج_مهدی.jpg
TRAIN_00009,Hakim_Mosque_2019-07-28_08.jpg,Has Arch,1,train,has_arch/Hakim_Mosque_2019-07-28_08.jpg
TRAIN_00010,Gonbadkabod10.jpg,No Arch,0,train,no_arch/Gonbadkabod10.jpg
TRAIN_00011,داخل_گنبد_سرخ.jpg,No Arch,0,train,no_arch/داخل_گنبد_سرخ.jpg
TRAIN_00012,برج_آب_شماره_یک_منطقه_بوارده_03.jpg,No Arch,0,train,no_arch/برج_آب_شماره_یک_منطقه_بوارده_03.jpg
TRAIN_00013,Miandasht_Caravanserai2023-07-31_20.jpg,No Arch,0,train,no_arch/Miandasht_Caravanserai2023-07-31_20.jpg
TRAIN_00014,DWHAE9126.jpg,Has Arch,1,train,has_arch/DWHAE9126.jpg
TRAIN_00015,Bahram236.jpg,Has Arch,1,train,has_arch/Bahram236.jpg
TRAIN_00016,Mirza-Mohammad-e-Pedar-Boutique-Hotel-in-Yazd--Renovation----30554.jpg,No Arch,0,train,no_arch/Mirza-Mohammad-e-Pedar-Boutique-Hotel-in-Yazd--Renovation----30554.jpg
TRAIN_00017,1396030914591932611029884_خیابان_سپه.jpg,No Arch,0,train,no_arch/1396030914591932611029884_خیابان_سپه.jpg
TRAIN_00018,Abu_Osman_Maghrebi_Mausoleum_(10).jpg,Has Arch,1,train,has_arch/Abu_Osman_Maghrebi_Mausoleum_(10).jpg
TRAIN_00019,Khan_Caravanserai4.jpg,No Arch,0,train,no_arch/Khan_Caravanserai4.jpg
TRAIN_00020,Qazvin_bazaar20180714_152900.jpg,Has Arch,1,train,has_arch/Qazvin_bazaar20180714_152900.jpg
TRAIN_00021,Jameh_Mosque_of_Varamin_20190514_03.jpg,Has Arch,1,train,has_arch/Jameh_Mosque_of_Varamin_20190514_03.jpg
TRAIN_00022,Bethlehem_Church2021_27.jpg,No Arch,0,train,no_arch/Bethlehem_Church2021_27.jpg
TRAIN_00023,Ghasre-Bahram.jpg,Has Arch,1,train,has_arch/Ghasre-Bahram.jpg
TRAIN_00024,Seh_Kohye_Castle2020_12.jpg,No Arch,0,train,no_arch/Seh_Kohye_Castle2020_12.jpg
TRAIN_00025,بازار_قدیم_تهران.jpg,Has Arch,1,train,has_arch/بازار_قدیم_تهران.jpg
TRAIN_00026,امامزاده_هارون_(10).jpg,Has Arch,1,train,has_arch/امامزاده_هارون_(10).jpg
TRAIN_00027,گنبد_الله_الله_خاروانا(.jpg,No Arch,0,train,no_arch/گنبد_الله_الله_خاروانا(.jpg
TRAIN_00028,Golpayegan_600.jpg,No Arch,0,train,no_arch/Golpayegan_600.jpg
TRAIN_00029,"Iran_Kerman_,_Malek_Mosque_,brick_Dome_decorations.jpg",No Arch,0,train,"no_arch/Iran_Kerman_,_Malek_Mosque_,brick_Dome_decorations.jpg"
TRAIN_00030,RZBP0037.jpg,Has Arch,1,train,has_arch/RZBP0037.jpg
TRAIN_00031,امامزاده_هادی_بن_علی-همدان_3.jpg,No Arch,0,train,no_arch/امامزاده_هادی_بن_علی-همدان_3.jpg
TRAIN_00032,"Narin_Citadel_of_Meybod_(Narin_Ghale),_Meybod,_Yazd,_Iran_(نارین_قلعه_میبد)_-_panoramio_(4).jpg",Has Arch,1,train,"has_arch/Narin_Citadel_of_Meybod_(Narin_Ghale),_Meybod,_Yazd,_Iran_(نارین_قلعه_میبد)_-_panoramio_(4).jpg"
TRAIN_00033,The_dome_of_zirdeh_masq.jpg,No Arch,0,train,no_arch/The_dome_of_zirdeh_masq.jpg
TRAIN_00034,Irnr145-Isfahan-widok_z_Pałacu_na_Meczet_Sułtana_Lotfollaha.jpg,Has Arch,1,train,has_arch/Irnr145-Isfahan-widok_z_Pałacu_na_Meczet_Sułtana_Lotfollaha.jpg
TRAIN_00035,بدون_رنگ.jpg,Has Arch,1,train,has_arch/بدون_رنگ.jpg
TRAIN_00036,Farasfaj_caravanserai_20190507_20.jpg,Has Arch,1,train,has_arch/Farasfaj_caravanserai_20190507_20.jpg
TRAIN_00037,مسجد_سلطانی_قزوین.jpg,Has Arch,1,train,has_arch/مسجد_سلطانی_قزوین.jpg
TRAIN_00038,BorujerdihaHistoricalHouse.jpg,Has Arch,1,train,has_arch/BorujerdihaHistoricalHouse.jpg
TRAIN_00039,Pamenar_Mosque_of_Sabzevar_01.jpg,No Arch,0,train,no_arch/Pamenar_Mosque_of_Sabzevar_01.jpg
TRAIN_00040,33pol_bridge_backside.jpg,Has Arch,1,train,has_arch/33pol_bridge_backside.jpg
TRAIN_00041,Bahram_Palace_22.jpg,Has Arch,1,train,has_arch/Bahram_Palace_22.jpg
TRAIN_00042,Bazar_of_tabriz.jpg,Has Arch,1,train,has_arch/Bazar_of_tabriz.jpg
TRAIN_00043,Mehraban_House.jpg,No Arch,0,train,no_arch/Mehraban_House.jpg
TRAIN_00044,Kabood-gonbad.jpg,Has Arch,1,train,has_arch/Kabood-gonbad.jpg
TRAIN_00045,ایران-خراسان_رضوی_-نیشابور-_ظلع_جنوبی_بازار_سر_پوشیده_-_میدان_گلشن_بازار_محلوج_فروشان_نیشابور_-.jpg,Has Arch,1,train,has_arch/ایران-خراسان_رضوی_-نیشابور-_ظلع_جنوبی_بازار_سر_پوشیده_-_میدان_گلشن_بازار_محلوج_فروشان_نیشابور_-.jpg
TRAIN_00046,Cheshmeh-Mansion-Lavasan-Amin-Ferdousi-CAOI---30435.jpg,No Arch,0,train,no_arch/Cheshmeh-Mansion-Lavasan-Amin-Ferdousi-CAOI---30435.jpg
TRAIN_00047,مزومبل_سرخه.jpg,No Arch,0,train,no_arch/مزومبل_سرخه.jpg
TRAIN_00048,"Ganjali_Khan_Bathhouse4,_built_between_1596-1621_Kerman_-_4-6-2013.jpg",Has Arch,1,train,"has_arch/Ganjali_Khan_Bathhouse4,_built_between_1596-1621_Kerman_-_4-6-2013.jpg"
TRAIN_00049,Pol_Khajoo10.jpg,Has Arch,1,train,has_arch/Pol_Khajoo10.jpg
TRAIN_00050,Do_Dari_-_Tabriz_Grand_Bazar.jpg,Has Arch,1,train,has_arch/Do_Dari_-_Tabriz_Grand_Bazar.jpg
TRAIN_00051,Shah_Abbasi_Caravanserai_of_Bisotun2023-10-09_17.jpg,Has Arch,1,train,has_arch/Shah_Abbasi_Caravanserai_of_Bisotun2023-10-09_17.jpg
TRAIN_00052,"Hajjiabad,_Zeberkhan,_Nishapur_-_imamzadeh-_mosque_-_cemetery_3.jpg",No Arch,0,train,"no_arch/Hajjiabad,_Zeberkhan,_Nishapur_-_imamzadeh-_mosque_-_cemetery_3.jpg"
TRAIN_00053,Qeshlaq_Bridge_20190329_01.jpg,Has Arch,1,train,has_arch/Qeshlaq_Bridge_20190329_01.jpg
TRAIN_00054,Ramsar_Complex-Farzad_Emami_(1).jpg,No Arch,0,train,no_arch/Ramsar_Complex-Farzad_Emami_(1).jpg
TRAIN_00055,Koohravan-villa-Damavand-Hypertext-Architecture-Studio---28841.jpg,No Arch,0,train,no_arch/Koohravan-villa-Damavand-Hypertext-Architecture-Studio---28841.jpg
TRAIN_00056,Bazaar_of_Zanjan_13961007_18.jpg,Has Arch,1,train,has_arch/Bazaar_of_Zanjan_13961007_18.jpg
TRAIN_00057,Ks.SH.A3.jpg,No Arch,0,train,no_arch/Ks.SH.A3.jpg
TRAIN_00058,Madar_Shah_Caravanserai-_Murchehkhort-ID_13657-_کاروان_سرای_مادرشاه_مورچه_خورت.jpg,Has Arch,1,train,has_arch/Madar_Shah_Caravanserai-_Murchehkhort-ID_13657-_کاروان_سرای_مادرشاه_مورچه_خورت.jpg
TRAIN_00059,Iran_Yazd_Place_Amir_Chaghmagh_Mosquee_Amir_Chakhmaq_Mirab_-_panoramio (1).jpg,Has Arch,1,train,has_arch/Iran_Yazd_Place_Amir_Chaghmagh_Mosquee_Amir_Chakhmaq_Mirab_-_panoramio (1).jpg
TRAIN_00060,Ali-Qapu_13920419_(10).jpg,No Arch,0,train,no_arch/Ali-Qapu_13920419_(10).jpg
TRAIN_00061,Dairəvi_günbəz_və_Göy_Günbəz_türbələri_202209_(1).jpg,No Arch,0,train,no_arch/Dairəvi_günbəz_və_Göy_Günbəz_türbələri_202209_(1).jpg
TRAIN_00062,Masjid_jame6.jpg,Has Arch,1,train,has_arch/Masjid_jame6.jpg
TRAIN_00063,Ribat-i_Sharaf_-_1_June_2011_14.jpg,No Arch,0,train,no_arch/Ribat-i_Sharaf_-_1_June_2011_14.jpg
TRAIN_00064,راهرو_های_فرعی_قلعه_تل.jpg,No Arch,0,train,no_arch/راهرو_های_فرعی_قلعه_تل.jpg
TRAIN_00065,کاروانسرای_گلشن3.jpg,Has Arch,1,train,has_arch/کاروانسرای_گلشن3.jpg
TRAIN_00066,Historical_Bazaar_of_Khoy5.jpg,Has Arch,1,train,has_arch/Historical_Bazaar_of_Khoy5.jpg
TRAIN_00067,Jameh_Mosque_of_Yazd_13961030_13.jpg,Has Arch,1,train,has_arch/Jameh_Mosque_of_Yazd_13961030_13.jpg
TRAIN_00068,Yazd2024-03-19_4.jpg,No Arch,0,train,no_arch/Yazd2024-03-19_4.jpg
TRAIN_00069,1399112915302482522263704_موزه_فرش_تهران.jpg,No Arch,0,train,no_arch/1399112915302482522263704_موزه_فرش_تهران.jpg
TRAIN_00070,DSC_0012_(1600x1200).jpg,Has Arch,1,train,has_arch/DSC_0012_(1600x1200).jpg
TRAIN_00071,Rehnan_mosque5.jpg,No Arch,0,train,no_arch/Rehnan_mosque5.jpg
TRAIN_00072,پوراشرف_(3).jpg,Has Arch,1,train,has_arch/پوراشرف_(3).jpg
TRAIN_00073,کلیسای_حضرت_مریم_(همدان4).jpg,No Arch,0,train,no_arch/کلیسای_حضرت_مریم_(همدان4).jpg
TRAIN_00074,Carpet_seller.jpg,Has Arch,1,train,has_arch/Carpet_seller.jpg
TRAIN_00075,Ghargharabad_Ab_Anbar_1.jpg,Has Arch,1,train,has_arch/Ghargharabad_Ab_Anbar_1.jpg
TRAIN_00076,Abbasid_Caravanseray_of_Nishapur_(Ribati-i-Abbasi_of_Nishapur)_-_Morning_201.jpg,Has Arch,1,train,has_arch/Abbasid_Caravanseray_of_Nishapur_(Ribati-i-Abbasi_of_Nishapur)_-_Morning_201.jpg
TRAIN_00077,Bazaar_of_Kashan.jpg,Has Arch,1,train,has_arch/Bazaar_of_Kashan.jpg
TRAIN_00078,Qazvin_Bazaar_2020-04-04_13.jpg,Has Arch,1,train,has_arch/Qazvin_Bazaar_2020-04-04_13.jpg
TRAIN_00079,بادگیرهای_گذر_تاریخی_بنی_طبا.jpg,No Arch,0,train,no_arch/بادگیرهای_گذر_تاریخی_بنی_طبا.jpg
TRAIN_00080,Hnfh000_20190420_000803.jpg,Has Arch,1,train,has_arch/Hnfh000_20190420_000803.jpg
TRAIN_00081,Bafte_ghadime_yazd_(122).jpg,Has Arch,1,train,has_arch/Bafte_ghadime_yazd_(122).jpg
TRAIN_00082,Shaabjareh_Old_Castle_06.jpg,No Arch,0,train,no_arch/Shaabjareh_Old_Castle_06.jpg
TRAIN_00083,Abyaneh_Darafsh_(93).jpg,No Arch,0,train,no_arch/Abyaneh_Darafsh_(93).jpg
TRAIN_00084,Assar-khane3.jpg,Has Arch,1,train,has_arch/Assar-khane3.jpg
TRAIN_00085,Koohsar-StudioDavazdah-Niloofar-Niksar-Photo-by-Siavash-Naghshbandi-25195.jpg,No Arch,0,train,no_arch/Koohsar-StudioDavazdah-Niloofar-Niksar-Photo-by-Siavash-Naghshbandi-25195.jpg
TRAIN_00086,EmamZade-abed-kakhk-gonbad.jpg,No Arch,0,train,no_arch/EmamZade-abed-kakhk-gonbad.jpg
TRAIN_00087,ZuzanMasque4.jpg,Has Arch,1,train,has_arch/ZuzanMasque4.jpg
TRAIN_00088,Voroodi_masjed_atigh.jpg,Has Arch,1,train,has_arch/Voroodi_masjed_atigh.jpg
TRAIN_00089,Khosrogerd_Minaret_01.jpg,No Arch,0,train,no_arch/Khosrogerd_Minaret_01.jpg
TRAIN_00090,Hamdollah1.jpg,No Arch,0,train,no_arch/Hamdollah1.jpg
TRAIN_00091,Ardabil_bazaar_2020-03-12_13.jpg,No Arch,0,train,no_arch/Ardabil_bazaar_2020-03-12_13.jpg
TRAIN_00092,بنای_معین_التجار.jpg,Has Arch,1,train,has_arch/بنای_معین_التجار.jpg
TRAIN_00093,Hoze_ganjaali_khan_bath2_copy.jpg,Has Arch,1,train,has_arch/Hoze_ganjaali_khan_bath2_copy.jpg
TRAIN_00094,Farzane09.jpg,No Arch,0,train,no_arch/Farzane09.jpg
TRAIN_00095,Tile_decorated_parapets_dividing_the_chambers.jpg,Has Arch,1,train,has_arch/Tile_decorated_parapets_dividing_the_chambers.jpg
TRAIN_00096,B-0451597958-05.jpg,No Arch,0,train,no_arch/B-0451597958-05.jpg
TRAIN_00097,Jameh_mosques_08.jpg,Has Arch,1,train,has_arch/Jameh_mosques_08.jpg
TRAIN_00098,f16ee531a577819aa7b2e99d.jpg,Has Arch,1,train,has_arch/f16ee531a577819aa7b2e99d.jpg
TRAIN_00099,امامزاده_یحیی_ورامین_2.jpg,No Arch,0,train,no_arch/امامزاده_یحیی_ورامین_2.jpg
TRAIN_00100,نمای_شب_برج_شرشر.jpg,No Arch,0,train,no_arch/نمای_شب_برج_شرشر.jpg
TRAIN_00101,Shahrod_Historical_Bazar_2.jpg,Has Arch,1,train,has_arch/Shahrod_Historical_Bazar_2.jpg
TRAIN_00102,"Mezquita_del_Viernes,_Kashan,_Irán,_2016-09-19,_DD_87.jpg",No Arch,0,train,"no_arch/Mezquita_del_Viernes,_Kashan,_Irán,_2016-09-19,_DD_87.jpg"
TRAIN_00103,مسجدامام(شاه)اصفهان-18.jpg,Has Arch,1,train,has_arch/مسجدامام(شاه)اصفهان-18.jpg
TRAIN_00104,پیش_زدگی.jpg,No Arch,0,train,no_arch/پیش_زدگی.jpg
TRAIN_00105,Yazd2024-03-19_14.jpg,Has Arch,1,train,has_arch/Yazd2024-03-19_14.jpg
TRAIN_00106,Madrasah_of_Khan_in_1970s_-_Shiraz.jpg,Has Arch,1,train,has_arch/Madrasah_of_Khan_in_1970s_-_Shiraz.jpg
TRAIN_00107,Kalat_Arghunshah_Watchtower_(cropped).jpg,No Arch,0,train,no_arch/Kalat_Arghunshah_Watchtower_(cropped).jpg
TRAIN_00108,Flowerroof.jpg,No Arch,0,train,no_arch/Flowerroof.jpg
TRAIN_00109,Beheshti_Hammam2022-02-15_28.jpg,Has Arch,1,train,has_arch/Beheshti_Hammam2022-02-15_28.jpg
TRAIN_00110,Main_iwan_leading_to_the_dome_chamber_and_its_brick_and_tile_decoration.jpg,Has Arch,1,train,has_arch/Main_iwan_leading_to_the_dome_chamber_and_its_brick_and_tile_decoration.jpg
TRAIN_00111,درب_ورودی_مسجد_جامع_زواره.jpg,Has Arch,1,train,has_arch/درب_ورودی_مسجد_جامع_زواره.jpg
